time,pressure,wind,direction,waveheight,file
2018-08-01 13:00:00,1001.6333333333333,9.633333333333336,24.0,2.1,201812_15
2018-08-01 13:30:00,1001.4,9.9,13.0,2.0,201812_15
2018-08-01 14:00:00,1001.2333333333332,9.766666666666667,10.666666666666666,2.1,201812_15
2018-08-01 14:30:00,1001.0666666666666,10.133333333333333,116.66666666666669,1.9,201812_15
2018-08-01 15:00:00,1001.2000000000003,9.9,15.0,2.1,201812_15
2018-08-01 15:30:00,1001.1,10.233333333333334,24.66666666666667,2.1,201812_15
2018-08-01 16:00:00,1001.1,10.533333333333333,24.66666666666667,2.1,201812_15
2018-08-01 16:30:00,1000.9666666666666,10.133333333333333,135.66666666666666,2.1,201812_15
2018-08-01 17:00:00,1000.7666666666668,10.066666666666666,15.333333333333336,2.2,201812_15
2018-08-01 17:30:00,1000.8333333333335,10.033333333333333,12.333333333333336,2.2,201812_15
2018-08-01 18:00:00,1000.9,10.7,21.0,2.2,201812_15
2018-08-01 18:30:00,1000.9666666666667,11.4,26.66666666666667,2.2,201812_15
2018-08-01 19:00:00,1001.3333333333335,10.333333333333332,38.333333333333336,2.6,201812_15
2018-08-01 19:30:00,1001.3666666666667,10.8,43.0,2.2,201812_15
2018-08-01 20:00:00,1001.5,10.966666666666667,28.33333333333333,2.4,201812_15
2018-08-01 20:30:00,1001.7000000000003,11.566666666666668,43.33333333333334,2.5,201812_15
2018-08-01 21:00:00,1002.0333333333333,11.533333333333333,31.66666666666667,2.3,201812_15
2018-08-01 21:30:00,1001.8666666666667,11.7,46.0,2.3,201812_15
2018-08-01 22:00:00,1001.7666666666668,11.0,37.0,2.5,201812_15
2018-08-01 22:30:00,1001.8333333333335,11.533333333333333,42.333333333333336,2.5,201812_15
2018-08-01 23:00:00,1001.8333333333335,10.333333333333334,28.0,2.3,201812_15
2018-08-01 23:30:00,1001.6333333333333,9.833333333333334,42.333333333333336,2.4,201812_15
2018-08-02 00:00:00,1001.4666666666667,10.1,34.333333333333336,2.6,201812_15
2018-08-02 00:30:00,1001.1666666666665,9.866666666666667,31.66666666666667,2.6,201812_15
2018-08-02 01:00:00,1001.1,10.0,62.0,2.3,201812_15
2018-08-02 01:30:00,1000.9,9.6,33.333333333333336,2.2,201812_15
2018-08-02 02:00:00,1000.5,10.566666666666665,40.66666666666666,2.5,201812_15
2018-08-02 02:30:00,1000.3333333333335,10.266666666666667,42.0,2.7000000000000006,201812_15
2018-08-02 03:00:00,1000.2333333333332,10.666666666666666,33.666666666666664,2.2,201812_15
2018-08-02 03:30:00,1000.5,10.5,51.33333333333334,2.0,201812_15
2018-08-02 04:00:00,1000.5,10.633333333333336,51.33333333333334,2.5,201812_15
2018-08-02 04:30:00,1000.7000000000003,11.466666666666667,52.66666666666666,2.2,201812_15
2018-08-02 05:00:00,1000.8666666666667,11.133333333333333,43.33333333333334,2.6,201812_15
2018-08-02 05:30:00,1000.6666666666665,10.9,54.33333333333334,2.5,201812_15
2018-08-02 06:00:00,1001.0666666666666,9.966666666666667,54.33333333333334,2.6,201812_15
2018-08-02 06:30:00,1001.4,11.366666666666667,50.0,2.4,201812_15
2018-08-02 07:00:00,1001.3333333333335,11.9,48.33333333333334,2.5,201812_15
2018-08-02 07:30:00,1001.4333333333334,12.1,55.33333333333334,2.7000000000000006,201812_15
2018-08-02 08:00:00,1001.2000000000003,12.933333333333332,64.66666666666667,2.9,201812_15
2018-08-02 08:30:00,1001.2999999999997,13.333333333333336,55.33333333333334,2.7999999999999994,201812_15
2018-08-02 09:00:00,1001.4,14.033333333333333,34.333333333333336,3.2000000000000006,201812_15
2018-08-02 09:30:00,1001.1666666666665,14.300000000000002,33.0,3.0,201812_15
2018-08-02 10:00:00,1001.2999999999997,13.733333333333334,42.0,3.0,201812_15
2018-08-02 10:30:00,1001.0666666666666,14.2,39.333333333333336,2.9,201812_15
2018-08-02 11:00:00,1000.9,14.066666666666668,40.66666666666666,3.0,201812_15
2018-08-02 11:30:00,1000.5666666666666,13.333333333333336,47.0,3.2999999999999994,201812_15
2018-08-02 12:00:00,1000.0,15.133333333333335,20.33333333333333,3.5,201812_15
2018-08-02 12:30:00,999.7666666666668,15.566666666666668,33.666666666666664,3.0,201812_15
2018-08-02 13:00:00,999.1333333333333,16.166666666666668,34.666666666666664,3.2999999999999994,201812_15
2018-08-02 13:30:00,999.3666666666667,17.833333333333332,58.33333333333334,3.1,201812_15
2018-08-02 14:00:00,999.4,13.9,38.0,3.5,201812_15
2018-08-02 14:30:00,999.1666666666665,14.933333333333332,49.66666666666666,3.7000000000000006,201812_15
2018-08-02 15:00:00,998.8666666666667,14.233333333333334,68.0,3.7000000000000006,201812_15
2018-08-02 15:30:00,998.7999999999997,14.033333333333333,56.33333333333334,3.7000000000000006,201812_15
2018-08-02 16:00:00,998.6,14.166666666666664,61.66666666666666,3.6,201812_15
2018-08-02 16:30:00,998.6,14.266666666666667,58.66666666666666,3.6,201812_15
2018-08-02 17:00:00,998.2999999999997,14.966666666666667,63.66666666666666,4.1,201812_15
2018-08-02 17:30:00,998.1666666666665,13.866666666666665,63.0,4.5,201812_15
2018-08-02 18:00:00,998.0666666666666,14.5,49.66666666666666,4.0,201812_15
2018-08-02 18:30:00,998.0333333333333,15.5,56.33333333333334,3.8,201812_15
2018-08-02 19:00:00,997.9666666666667,15.566666666666668,46.33333333333334,3.6,201812_15
2018-08-02 19:30:00,997.7,15.6,46.66666666666666,3.6,201812_15
2018-08-02 20:00:00,997.3666666666667,16.666666666666668,52.33333333333334,4.5,201812_15
